t,ph,spd,trn,FLs,FLdx,FLdz,FLfx,FLfz,FLf,FLt,FLfr,FLtr,FLfa,FLta,FRs,FRdx,FRdz,FRfx,FRfz,FRf,FRt,FRfr,FRtr,FRfa,FRta,RLs,RLdx,RLdz,RLfx,RLfz,RLf,RLt,RLfr,RLtr,RLfa,RLta,RRs,RRdx,RRdz,RRfx,RRfz,RRf,RRt,RRfr,RRtr,RRfa,RRta
21.22,0.072,0.57,0.0,0,5.0,0.0,30.0,-130.0,83.8,-113.9,797,123,802,119,1,-14.0,11.8,11.0,-118.2,81.0,-129.4,235,953,230,928,0,21.6,-2.0,13.6,-140.0,67.8,-108.9,280,726,285,740,0,-16.6,0.0,-24.6,-138.0,41.0,-108.3,634,309,635,296
21.57,0.152,0.81,0.0,0,-3.7,0.0,21.3,-130.0,79.3,-116.7,782,114,-1,-1,1,10.8,15.0,35.8,-115.0,99.3,-123.9,173,934,-1,-1,0,26.1,0.0,18.1,-138.0,71.7,-110.0,267,730,-1,-1,0,-29.8,0.0,-37.8,-138.0,30.1,-103.5,597,326,-1,-1
21.79,0.232,0.92,0.0,0,-15.9,0.0,9.1,-130.0,71.4,-119.0,755,106,-1,-1,1,35.8,7.0,60.8,-123.0,98.1,-103.1,177,863,-1,-1,0,20.7,0.0,12.7,-138.0,68.6,-111.0,278,733,-1,-1,0,-36.6,0.0,-44.6,-138.0,24.4,-100.3,578,337,-1,-1
22.01,0.312,0.96,0.0,0,-27.2,0.0,-2.2,-130.0,62.8,-119.5,726,104,-1,-1,0,37.3,-1.9,62.3,-131.9,90.5,-94.9,203,835,-1,-1,0,10.1,0.0,2.1,-138.0,61.6,-111.9,301,736,-1,-1,1,-27.4,10.5,-35.4,-127.5,34.3,-113.9,611,290,-1,-1
22.25,0.392,0.98,0.0,0,-35.4,0.0,-10.4,-130.0,56.0,-118.9,702,106,-1,-1,0,32.6,-0.3,57.6,-130.3,91.5,-99.4,200,850,-1,-1,0,-2.8,0.0,-10.8,-138.0,52.1,-111.3,334,734,-1,-1,1,8.3,15.0,0.3,-123.0,68.8,-126.0,729,249,-1,-1
22.48,0.472,0.99,0.0,0,-39.5,0.0,-14.5,-130.0,52.5,-118.2,690,108,696,104,0,23.8,0.0,48.8,-130.0,90.2,-105.1,204,870,200,871,0,-15.7,0.0,-23.7,-138.0,41.7,-108.6,369,725,365,730,1,37.3,12.7,29.3,-125.3,87.3,-118.3,792,275,802,275
22.82,0.552,1.0,0.0,1,-31.7,9.1,-6.7,-120.9,63.4,-127.6,728,76,-1,-1,0,12.0,0.0,37.0,-130.0,86.7,-111.1,216,890,-1,-1,0,-26.9,0.0,-34.9,-138.0,32.5,-104.7,401,712,-1,-1,0,38.9,-1.8,30.9,-139.8,76.6,-104.6,756,322,-1,-1
23.02,0.632,1.0,0.0,1,3.5,15.0,28.5,-115.0,95.7,-127.2,838,78,-1,-1,0,-1.2,0.0,23.8,-130.0,80.7,-116.0,236,907,-1,-1,0,-35.2,0.0,-43.2,-138.0,25.6,-101.0,424,699,-1,-1,0,34.0,-0.7,26.0,-138.7,75.2,-107.2,751,313,-1,-1
23.28,0.712,1.0,0.0,1,35.5,15.0,60.5,-115.0,105.0,-109.0,870,140,-1,-1,0,-14.2,0.0,10.8,-130.0,72.6,-118.8,264,917,-1,-1,0,-39.5,0.0,-47.5,-138.0,22.1,-98.8,436,692,-1,-1,0,25.2,0.0,17.2,-138.0,71.2,-110.2,737,303,-1,-1
23.51,0.792,1.0,0.0,0,39.4,-1.5,64.4,-131.5,91.0,-93.7,822,192,-1,-1,0,-25.7,0.0,-0.7,-130.0,64.0,-119.6,293,919,-1,-1,1,-34.5,7.6,-42.5,-130.4,27.5,-108.0,418,723,-1,-1,0,13.6,0.0,5.6,-138.0,64.0,-111.8,713,297,-1,-1
23.71,0.872,1.0,0.0,0,34.9,-1.1,59.9,-131.1,91.0,-97.2,822,180,834,187,0,-34.4,0.0,-9.4,-130.0,56.9,-119.0,318,917,304,913,1,-1.5,15.0,-9.5,-123.0,59.8,-125.4,308,782,305,762,0,0.5,0.0,-7.5,-138.0,54.6,-111.6,681,298,677,-1
24.05,0.952,1.0,0.0,0,26.5,0.0,51.5,-130.0,90.8,-103.5,821,159,-1,-1,0,-39.2,0.0,-14.2,-130.0,52.7,-118.3,332,915,-1,-1,1,32.9,15.0,24.9,-123.0,86.8,-121.8,215,770,-1,-1,0,-12.7,0.0,-20.7,-138.0,44.2,-109.4,645,306,-1,-1
24.25,0.032,1.0,0.0,0,15.2,0.0,40.2,-130.0,87.9,-109.6,811,138,-1,-1,1,-36.8,5.9,-11.8,-124.1,57.2,-124.0,316,934,-1,-1,0,39.6,-1.2,31.6,-139.2,77.3,-104.8,248,712,-1,-1,0,-24.4,0.0,-32.4,-138.0,34.5,-105.7,612,318,-1,-1
24.48,0.112,1.0,0.0,0,2.2,0.0,27.2,-130.0,82.5,-114.9,793,120,-1,-1,1,-6.5,14.8,18.5,-115.2,89.1,-130.4,208,956,-1,-1,0,35.7,-1.4,27.7,-139.4,75.5,-106.0,254,716,-1,-1,0,-33.5,0.0,-41.5,-138.0,27.0,-101.8,587,331,-1,-1
24.71,0.192,1.0,0.0,0,-11.1,0.0,13.9,-130.0,74.8,-118.3,766,108,-1,-1,1,29.8,15.0,54.8,-115.0,104.5,-112.9,155,896,-1,-1,0,27.7,0.0,19.7,-138.0,72.6,-109.6,264,728,-1,-1,0,-38.8,0.0,-46.8,-138.0,22.6,-99.1,571,340,-1,-1
24.93,0.272,1.0,0.0,0,-23.1,0.0,1.9,-130.0,66.1,-119.5,737,104,757,106,0,39.8,-0.9,64.8,-130.9,91.5,-93.9,199,832,189,825,0,16.7,0.0,8.7,-138.0,66.1,-111.5,286,735,286,732,1,-38.5,4.1,-46.5,-133.9,23.6,-103.0,575,327,573,-1
25.28,0.352,1.0,0.0,0,-32.6,0.0,-7.6,-130.0,58.4,-119.2,711,105,-1,-1,0,36.4,-1.7,61.4,-131.7,90.7,-95.7,202,838,-1,-1,0,3.8,0.0,-4.2,-138.0,57.1,-111.9,317,736,-1,-1,1,-11.4,14.4,-19.4,-123.6,50.2,-122.9,666,260,-1,-1
25.5,0.432,1.0,0.0,0,-38.4,0.0,-13.4,-130.0,53.4,-118.4,694,108,-1,-1,0,28.9,0.0,53.9,-130.0,91.2,-102.0,200,859,-1,-1,0,-9.5,0.0,-17.5,-138.0,46.8,-110.1,352,730,-1,-1,1,26.3,15.0,18.3,-123.0,82.7,-123.7,777,257,-1,-1
25.73,0.512,1.0,0.0,1,-39.5,2.3,-14.5,-127.7,53.3,-120.3,693,101,-1,-1,0,18.2,0.0,43.2,-130.0,88.8,-108.1,209,880,-1,-1,0,-21.7,0.0,-29.7,-138.0,36.8,-106.7,386,718,-1,-1,0,39.9,-0.5,31.9,-138.5,78.0,-105.4,760,319,-1,-1
25.96,0.592,1.0,0.0,1,-16.1,13.7,8.9,-116.3,80.5,-131.4,786,63,-1,-1,0,5.5,0.0,30.5,-130.0,84.1,-113.7,225,899,-1,-1,0,-31.6,0.0,-39.6,-138.0,28.6,-102.7,414,705,-1,-1,0,37.1,-1.9,29.1,-139.9,75.7,-105.1,753,320,-1,-1
26.17,0.672,1.0,0.0,1,22.3,15.0,47.3,-115.0,103.0,-117.7,863,110,867,103,0,-7.8,0.0,17.2,-130.0,76.8,-117.7,249,913,215,897,0,-37.9,0.0,-45.9,-138.0,23.4,-99.6,432,694,431,695,0,30.1,0.0,22.1,-138.0,73.8,-109.0,746,307,745,292
26.5,0.752,1.0,0.0,0,40.0,-0.1,65.0,-130.1,92.2,-94.5,826,189,-1,-1,0,-20.3,0.0,4.7,-130.0,68.2,-119.4,279,919,-1,-1,1,-40.0,0.4,-48.0,-137.6,21.7,-98.9,438,692,-1,-1,0,19.7,0.0,11.7,-138.0,68.0,-111.1,726,300,-1,-1
26.7,0.832,1.0,0.0,0,37.7,-2.0,62.7,-132.0,90.5,-94.6,820,189,-1,-1,0,-30.5,0.0,-5.5,-130.0,60.1,-119.4,306,919,-1,-1,1,-20.6,12.9,-28.6,-125.1,41.1,-118.7,371,759,-1,-1,0,7.2,0.0,-0.8,-138.0,59.5,-112.0,697,297,-1,-1
26.91,0.912,1.0,0.0,0,31.1,0.0,56.1,-130.0,91.6,-100.6,824,168,-1,-1,0,-37.3,0.0,-12.3,-130.0,54.3,-118.6,326,916,-1,-1,1,17.9,15.0,9.9,-123.0,76.7,-125.3,250,782,-1,-1,0,-6.2,0.0,-14.2,-138.0,49.4,-110.7,663,301,-1,-1
27.11,0.992,1.0,0.0,0,21.1,0.0,46.1,-130.0,89.6,-106.5,817,148,-1,-1,0,-40.0,0.0,-15.0,-130.0,52.0,-118.1,334,914,-1,-1,1,39.8,1.6,31.8,-136.4,79.6,-107.5,240,721,-1,-1,0,-18.8,0.0,-26.8,-138.0,39.2,-107.7,628,311,-1,-1
27.31,0.072,1.0,0.0,0,8.8,0.0,33.8,-130.0,85.5,-112.4,803,128,817,137,1,-24.7,11.8,0.3,-118.2,71.5,-130.3,268,956,271,928,0,38.2,-2.0,30.2,-140.0,76.1,-104.6,252,711,247,712,0,-29.4,0.0,-37.4,-138.0,30.4,-103.7,598,325,596,302
