time,phase,speed,turn,gait,FL_shldr_goal,FL_femur_goal,FL_tibia_goal,FR_shldr_goal,FR_femur_goal,FR_tibia_goal,RL_shldr_goal,RL_femur_goal,RL_tibia_goal,RR_shldr_goal,RR_femur_goal,RR_tibia_goal,FL_shldr_actual,FL_femur_actual,FL_tibia_actual,FR_shldr_actual,FR_femur_actual,FR_tibia_actual,RL_shldr_actual,RL_femur_actual,RL_tibia_actual,RR_shldr_actual,RR_femur_actual,RR_tibia_actual
2.079,0.0267,-1.0,0.0,walk,221,644,123,802,256,915,802,226,743,515,675,275,213,698,126,798,254,916,800,226,743,502,679,273
2.369,0.06,-1.0,0.0,walk,221,646,122,802,248,912,802,214,757,515,685,273,212,656,122,801,253,911,802,215,754,498,690,266
2.659,0.0933,-1.0,0.0,walk,221,650,121,802,242,910,802,197,794,515,696,272,212,654,120,801,244,910,802,199,764,498,699,277
2.949,0.1267,-1.0,0.0,walk,221,655,119,802,237,907,802,228,806,515,707,271,212,656,118,802,239,907,802,231,764,498,710,272
3.239,0.16,-1.0,0.0,walk,221,661,117,802,233,905,802,279,808,515,718,271,213,660,113,802,235,905,801,-1,-1,-1,498,-1
3.529,0.1933,-1.0,0.0,walk,221,668,114,802,230,903,802,331,798,515,728,271,214,667,111,802,233,903,801,334,764,500,730,272
3.819,0.2267,-1.0,0.0,walk,221,677,112,802,228,901,802,367,770,515,738,273,216,676,109,803,230,903,801,369,763,501,739,272
4.109,0.26,-1.0,0.0,walk,221,687,109,802,226,900,802,379,743,515,746,274,217,681,104,803,228,903,802,379,744,504,743,272
4.399,0.2933,-1.0,0.0,walk,221,697,107,802,226,900,802,378,744,515,754,276,218,692,104,805,227,904,803,378,744,505,750,272
4.699,0.3267,-1.0,0.0,walk,221,708,105,802,199,936,802,375,745,515,761,279,219,701,101,803,197,925,801,376,743,510,766,272
4.989,0.36,-1.0,0.0,walk,221,719,104,802,209,958,802,371,746,515,766,281,224,712,101,802,204,928,802,372,745,514,767,272
5.279,0.3933,-1.0,0.0,walk,221,730,104,802,252,965,802,365,748,515,771,284,225,720,101,803,233,928,804,366,751,516,771,274
5.569,0.4267,-1.0,0.0,walk,221,740,104,802,306,962,802,358,751,515,775,286,225,726,101,806,258,928,806,359,755,515,769,284
5.859,0.46,-1.0,0.0,walk,221,750,105,802,352,943,802,350,753,515,777,288,223,735,101,807,298,928,807,346,755,514,785,285
