time,phase,speed,turn,gait,FL_phase,FL_state,FL_dx,FL_dy,FL_dz,FL_foot_x,FL_foot_y,FL_foot_z,FL_shldr_deg,FL_shldr_raw,FL_shldr_actual,FL_femur_deg,FL_femur_raw,FL_femur_actual,FL_tibia_deg,FL_tibia_raw,FL_tibia_actual,FR_phase,FR_state,FR_dx,FR_dy,FR_dz,FR_foot_x,FR_foot_y,FR_foot_z,FR_shldr_deg,FR_shldr_raw,FR_shldr_actual,FR_femur_deg,FR_femur_raw,FR_femur_actual,FR_tibia_deg,FR_tibia_raw,FR_tibia_actual,RL_phase,RL_state,RL_dx,RL_dy,RL_dz,RL_foot_x,RL_foot_y,RL_foot_z,RL_shldr_deg,RL_shldr_raw,RL_shldr_actual,RL_femur_deg,RL_femur_raw,RL_femur_actual,RL_tibia_deg,RL_tibia_raw,RL_tibia_actual,RR_phase,RR_state,RR_dx,RR_dy,RR_dz,RR_foot_x,RR_foot_y,RR_foot_z,RR_shldr_deg,RR_shldr_raw,RR_shldr_actual,RR_femur_deg,RR_femur_raw,RR_femur_actual,RR_tibia_deg,RR_tibia_raw,RR_tibia_actual
3.523,0.0,0.08,0.0,walk,0.25,stance,1.6,0.0,0.0,26.6,5.0,-130.0,85.05,221,219,82.17,792,785,-115.1,119,115,0.75,swing,-3.2,0.0,0.0,21.8,-5.0,-130.0,85.05,802,801,79.6,240,239,-116.55,909,906,0.0,stance,3.2,0.0,-0.0,-4.8,5.0,-130.0,85.05,802,803,60.7,305,305,-119.42,762,756,0.5,stance,-1.6,0.0,0.0,-9.6,-5.0,-130.0,85.05,527,524,56.67,688,689,-118.98,273,275
3.732,0.008,0.15,0.0,walk,0.258,stance,2.89,0.0,0.0,27.89,5.0,-130.0,85.05,221,-1,82.81,794,-1,-114.66,121,-1,0.758,swing,-6.11,0.0,1.51,18.89,-5.0,-128.49,85.05,802,-1,79.0,242,-1,-118.66,916,-1,0.008,stance,6.14,0.0,-0.33,-1.86,5.0,-130.33,85.05,802,-1,62.92,297,-1,-119.24,761,-1,0.508,stance,-3.25,0.0,0.0,-11.25,-5.0,-130.0,85.05,527,-1,55.25,683,-1,-118.76,274,-1
3.752,0.016,0.22,0.0,walk,0.266,stance,3.9,0.0,0.0,28.9,5.0,-130.0,85.05,221,-1,83.3,796,-1,-114.31,122,-1,0.766,swing,-8.67,0.0,3.0,16.33,-5.0,-127.0,85.05,802,-1,78.47,244,-1,-120.59,923,-1,0.016,stance,8.83,0.0,-0.66,0.83,5.0,-130.66,85.05,802,-1,64.88,290,-1,-118.95,760,-1,0.516,stance,-4.93,0.0,0.0,-12.93,-5.0,-130.0,85.05,527,-1,53.8,678,-1,-118.5,275,-1
3.772,0.024,0.28,0.0,walk,0.274,stance,4.66,0.0,0.0,29.66,5.0,-130.0,85.05,221,-1,83.66,797,-1,-114.03,123,-1,0.774,swing,-10.83,0.0,4.46,14.17,-5.0,-125.54,85.05,802,-1,78.06,245,-1,-122.34,929,-1,0.024,stance,11.29,0.0,-0.96,3.29,5.0,-130.96,85.05,802,-1,66.59,284,-1,-118.6,759,-1,0.524,stance,-6.63,0.0,0.0,-14.63,-5.0,-130.0,85.05,527,-1,52.32,673,-1,-118.2,276,-1
3.792,0.032,0.34,0.0,walk,0.282,stance,5.18,0.0,0.0,30.18,5.0,-130.0,85.05,221,-1,83.9,798,-1,-113.84,123,-1,0.782,swing,-12.55,0.0,5.87,12.45,-5.0,-124.13,85.05,802,-1,77.84,246,-1,-123.92,934,-1,0.032,stance,13.51,0.0,-1.24,5.51,5.0,-131.24,85.05,802,-1,68.08,279,-1,-118.22,758,-1,0.532,stance,-8.34,0.0,0.0,-16.34,-5.0,-130.0,85.05,527,-1,50.83,668,-1,-117.86,277,-1
3.812,0.04,0.39,0.0,walk,0.29,stance,5.49,0.0,0.0,30.49,5.0,-130.0,85.05,221,220,84.04,798,793,-113.73,124,123,0.79,swing,-13.8,0.0,7.23,11.2,-5.0,-122.77,85.05,802,801,77.86,246,246,-125.34,939,924,0.04,stance,15.53,0.0,-1.49,7.53,5.0,-131.49,85.05,802,801,69.38,275,273,-117.82,756,756,0.54,stance,-10.04,0.0,0.0,-18.04,-5.0,-130.0,85.05,527,524,49.33,663,658,-117.49,278,276
4.032,0.048,0.44,0.0,walk,0.298,stance,5.61,0.0,0.0,30.61,5.0,-130.0,85.05,221,-1,84.09,798,-1,-113.68,124,-1,0.798,swing,-14.57,0.0,8.51,10.43,-5.0,-121.49,85.05,802,-1,78.16,245,-1,-126.6,943,-1,0.048,stance,17.33,0.0,-1.69,9.33,5.0,-131.69,85.05,802,-1,70.52,271,-1,-117.44,755,-1,0.548,stance,-11.72,0.0,0.0,-19.72,-5.0,-130.0,85.05,527,-1,47.84,658,-1,-117.09,279,-1
4.052,0.056,0.49,0.0,walk,0.306,stance,5.55,0.0,0.0,30.55,5.0,-130.0,85.05,221,-1,84.07,798,-1,-113.7,124,-1,0.806,swing,-14.85,0.0,9.71,10.15,-5.0,-120.29,85.05,802,-1,78.77,243,-1,-127.71,947,-1,0.056,stance,18.94,0.0,-1.84,10.94,5.0,-131.84,85.05,802,-1,71.52,268,-1,-117.09,754,-1,0.556,stance,-13.39,0.0,0.0,-21.39,-5.0,-130.0,85.05,527,-1,46.37,653,-1,-116.66,281,-1
4.072,0.064,0.53,0.0,walk,0.314,stance,5.34,0.0,0.0,30.34,5.0,-130.0,85.05,221,-1,83.97,798,-1,-113.78,123,-1,0.814,swing,-14.65,0.0,10.8,10.35,-5.0,-119.2,85.05,802,-1,79.71,240,-1,-128.65,950,-1,0.064,stance,20.36,0.0,-1.95,12.36,5.0,-131.95,85.05,802,-1,72.4,265,-1,-116.78,753,-1,0.564,stance,-15.02,0.0,0.0,-23.02,-5.0,-130.0,85.05,527,-1,44.92,648,-1,-116.2,282,-1
4.092,0.072,0.57,0.0,walk,0.322,stance,4.98,0.0,0.0,29.98,5.0,-130.0,85.05,221,-1,83.81,797,-1,-113.92,123,-1,0.822,swing,-13.98,0.0,11.79,11.02,-5.0,-118.21,85.05,802,-1,80.96,235,-1,-129.42,953,-1,0.072,stance,21.6,0.0,-2.0,13.6,5.0,-132.0,85.05,802,-1,73.18,262,-1,-116.53,752,-1,0.572,stance,-16.62,0.0,0.0,-24.62,-5.0,-130.0,85.05,527,-1,43.49,643,-1,-115.73,284,-1
