time,phase,FL_shldr_raw,FL_shldr_deg,FL_femur_raw,FL_femur_deg,FL_tibia_raw,FL_tibia_deg,FL_dx,FL_dz,FL_phase,FR_shldr_raw,FR_shldr_deg,FR_femur_raw,FR_femur_deg,FR_tibia_raw,FR_tibia_deg,FR_dx,FR_dz,FR_phase,RL_shldr_raw,RL_shldr_deg,RL_femur_raw,RL_femur_deg,RL_tibia_raw,RL_tibia_deg,RL_dx,RL_dz,RL_phase,RR_shldr_raw,RR_shldr_deg,RR_femur_raw,RR_femur_deg,RR_tibia_raw,RR_tibia_deg,RR_dx,RR_dz,RR_phase
0.0,0.0,221,85.1,797,83.8,123,-113.9,30.0,0.0,0.0,802,85.1,334,52.0,914,-118.1,-15.0,0.0,0.5,802,85.1,380,38.7,743,-113.9,-30.0,0.0,0.75,515,85.1,752,75.5,276,-118.1,15.0,0.0,0.25
0.02,0.01,221,85.1,797,83.8,123,-113.9,30.0,0.0,0.01,802,85.1,337,51.1,914,-117.9,-16.1,0.0,0.51,802,85.1,376,39.7,755,-117.3,-29.8,3.7,0.76,515,85.1,749,74.7,275,-118.3,13.9,0.0,0.26
0.04,0.02,221,85.1,797,83.8,123,-113.9,29.9,0.0,0.02,802,85.1,341,50.1,913,-117.7,-17.1,0.0,0.52,802,85.1,371,41.1,766,-120.5,-29.1,7.2,0.77,515,85.1,747,74.0,274,-118.5,12.8,0.0,0.27
0.06,0.03,221,85.1,797,83.7,123,-114.0,29.8,0.0,0.03,802,85.1,344,49.2,912,-117.5,-18.1,0.0,0.53,802,85.1,366,42.7,776,-123.5,-27.9,10.3,0.78,515,85.1,744,73.2,274,-118.7,11.6,0.0,0.28
0.08,0.04,221,85.1,797,83.6,123,-114.1,29.6,0.0,0.04,802,85.1,347,48.4,911,-117.2,-19.1,0.0,0.54,802,85.1,359,44.7,785,-126.1,-26.3,12.7,0.79,515,85.1,741,72.4,273,-118.9,10.5,0.0,0.29
0.1,0.05,221,85.1,796,83.5,122,-114.1,29.3,0.0,0.05,802,85.1,349,47.5,910,-117.0,-20.1,0.0,0.55,802,85.1,351,47.1,792,-128.2,-24.3,14.3,0.8,515,85.1,739,71.6,273,-119.0,9.3,0.0,0.3
0.12,0.06,221,85.1,796,83.4,122,-114.3,29.1,0.0,0.06,802,85.1,352,46.7,910,-116.8,-21.0,0.0,0.56,802,85.1,342,49.8,796,-129.5,-21.9,15.0,0.81,515,85.1,736,70.7,272,-119.2,8.1,0.0,0.31
0.14,0.07,221,85.1,795,83.2,121,-114.4,28.7,0.0,0.07,802,85.1,355,45.9,909,-116.5,-21.9,0.0,0.57,802,85.1,332,52.8,799,-130.4,-19.1,15.0,0.82,515,85.1,733,69.8,272,-119.3,6.9,0.0,0.32
0.16,0.08,221,85.1,795,83.0,121,-114.5,28.3,0.0,0.08,802,85.1,357,45.2,908,-116.3,-22.7,0.0,0.58,802,85.1,320,56.1,802,-131.2,-16.1,15.0,0.83,515,85.1,729,68.9,272,-119.4,5.6,0.0,0.33
0.18,0.09,221,85.1,794,82.8,121,-114.7,27.9,0.0,0.09,802,85.1,360,44.5,907,-116.1,-23.5,0.0,0.59,802,85.1,308,59.6,804,-131.9,-12.8,15.0,0.84,515,85.1,726,68.0,271,-119.4,4.4,0.0,0.34
0.2,0.1,221,85.1,793,82.6,120,-114.8,27.4,0.0,0.1,802,85.1,362,43.8,906,-115.8,-24.3,0.0,0.6,802,85.1,295,63.4,806,-132.5,-9.3,15.0,0.85,515,85.1,723,67.0,271,-119.5,3.1,0.0,0.35
0.22,0.11,221,85.1,792,82.3,119,-115.0,26.9,0.0,0.11,802,85.1,364,43.2,906,-115.6,-25.0,0.0,0.61,802,85.1,282,67.2,808,-132.9,-5.6,15.0,0.86,515,85.1,720,66.1,271,-119.5,1.9,0.0,0.36
0.24,0.12,221,85.1,791,82.0,119,-115.2,26.3,0.0,0.12,802,85.1,366,42.6,905,-115.4,-25.7,0.0,0.62,802,85.1,269,71.1,809,-133.1,-1.9,15.0,0.87,515,85.1,716,65.1,271,-119.6,0.6,0.0,0.37
0.26,0.13,221,85.1,790,81.7,118,-115.4,25.7,0.0,0.13,802,85.1,368,42.0,904,-115.2,-26.3,0.0,0.63,802,85.1,256,74.9,809,-133.1,1.9,15.0,0.88,515,85.1,713,64.1,271,-119.6,-0.6,0.0,0.38
